,id,text,lang,is_retweet
2070198,1261729968943517697,"“the wearing of masks is absurd, a virus loves wet surfaces--like masks"" ""#socialdistancing is absurd, a virus can not jump 6 feet"" ""#coronavirus cannot live in the air or survive on a surface""",en,False
1485062,1261665938715394048,covid-19: why some refuse to stay home or wear masks,en,False
1874464,1261708709970886659,"if this is true then the legitimacy of our shutdown and mandatory mask orders are to be seriously questioned. we know everyone's been lying, but to what extent exactly?",en,False
1392127,1261656199432470529,"the netherlands no masks less people sick and less people died, sweden less people sick less people died. stay in fear to get sick, fact is elderly and people who have a bad health can get covid-19 healthy people maybe.",en,False
2563429,1261791768154161155,at the level of coronavirus where my child put a tortilla up to her face and said “mask” ️,en,False
248843,1261481296615874561,100% of your contribution goes to supplying masks to healthcare workers — every 2 you donate sends an n95 mask to a healthcare worker. will you help?,en,False
2433255,1261775075201691649,if this continues half the police force will catch covid 19. talk about social distancing face masks..all out of the window. prevention is better than cure.,en,False
257307,1261482383724941314,"“jeans before masks, cookies before sneeze guards: corporate america is failing workers during the pandemic”",en,False
17236,1261448354044751872,“dragonfly” washable face mask via #facemask #dragonfly #shield #protector #cover #filter #nosewire #elastic #cotton #washable #allergy #dust #womens #teenager #girls #childrens #green #white #fittedmask #coronavirus #covid-19 #quarantine,en,False
2450355,1261777214577750016,so over covid no masks,en,False
1018785,1261609545614405632,"some, erm, helpful advice for those wearing masks. for a more technical version of how to wear a mask:",en,False
971477,1261601724961378307,"not sure of any, but there was an inactive us mask factory that could have been activated within the time frame. china built 2 massive coronavirus hospitals (1,600 & 800 beds) in just over a week. clear failure of leadership in the us & failure to lead the world on this crisis.",en,False
1603638,1261680619102310402,folks that is only one county. imagine what the nationwide numbers are. we are wide open in georgia. like it never happened. other than the cnn followers wearing masks. idiots!,en,False
1593238,1261679532525981697,"this latest bill is egregious, the left hates white people so much and they can’t seem to keep the mask from sliding off during this whole pandemic. they want you dead, whitey. never forget that.",en,False
328291,1261491484517425152,former neurosurgeon says masks are ineffective against covid-19 and can cause health problems,en,False
1023523,1261610287515516930,breaking news wearing a mask inside your home is now highly recommended. not so much to prevent covid-19 but to stop eating.,en,False
71988,1261455122036473856,"now #masks ready for your safety with your requirements like logo, colour and design...! #miketyson #boxing #champions #fight #boxinglegend #feedback #faxton_sports #covidー19",en,False
1969139,1261718908157001730,we have a governor telling people that a mask will protect you from covid? really?,en,False
2329830,1261760094741594113,men are less likely to wear masks – another sign that toxic masculinity kills,en,False
293898,1261487053587410945,there have been 6 deaths in your county from covid. tell those families a mask is too much.,en,False
1555448,1261675598814097412,"just saw five police arrive with no ppe to administer narcan. got here very fast but a mask would seem at least appropriate. one to do it, four to watch, i guess.",en,False
1214229,1261636450476589056,look at the sheer number of police officers present to arrest jeremy corbyn's brother piers at hyde park corner for taking part in the lockdown protest. no masks to protect themselves or the public & the officer handling the loudspeaker piers corbyn had isn't wearing gloves. ️,en,False
2344004,1261761813890334721,19.99 for 5 kn95 with valve face masks from uk stock #facemask #facemasks #covid19uk #covid19 #covid #covidiots #covidー19 #coronavirus,en,False
1820365,1261703010696208385,"pakistan resumes domestic flights, insists on masks and empty seats",en,False
98770,1261458406054871040,"nope masks are a way to demonstrate to others your commitment to healthy practices during the pandemic.not wearing a mask is no different than hoarding food, metals during a war.of course decide: patriot or selfish... mrs. claus thinks being selfish saves u.s.; did our founders?",en,False
627028,1261539505149890560,to hell with the mask and cornkobe,en,False
102426,1261458858716921857,stay home! stay safe.. at least wear a mask and wash your hands...,en,False
2326706,1261759717409505287,hey one of your ct employees is admitting to not adhering to coronavirus safety guidelines by not working with a mask. i recommend a company wide education before investigative journalists come looking for an easy story.,en,False
1278420,1261643812578918407,new study questions the effectiveness of masks against sars-cov-2,en,False
2538008,1261788443081916416,lol when someone totally misses the point (police -covid 19 -mask ) not rocket science,en,False
1222141,1261637393205125120,"funny how they both were ""maskless"" during early briefings, but now, with reopening imminent, the masks are in place.",en,False
1902491,1261711699264131073,"where is social distancing here!!!!? are they going to be prosecuted as putting police and everyone else at risk of covid? shouting, no masks,nothing!!!!",en,False
2124085,1261736070179254273,"oh two shoppers just casually talking about people they knew were sick due to covid-19, both of them didn’t have any mask on too. it’s a grocery store, not a place to hang out.",en,False
440762,1261507517349232640,coronavirus pandemic: true freedom- lovers wear face masks,en,False
2622431,1261799574395633666,"felon caught with gun, rope, and mask released by judge over covid-19 concerns via",en,False
2307418,1261757348319649793,shopping at wal-mart today. *no one observing their stupid directional arrows. *60% or more non-employees without masks *people well inside 6' *older woman w mask pulls it down below nose to ask mrs ls about books,en,False
10192,1261447488407388161,"“6 opposition activists arrested in #cameroon for distributing face masks & disinfectant gel, their lawyers & said friday”. eh camer! even inside #covid19 we get opposition. hopefully covid respects itself & doesn’t befriend the opposition",en,False
735746,1261558850790055936,& his crazy lunatic bunch! should be a weekend of nonsense & full on ass kissing which will result in absolutely nothing! great expenditure of tax payers money. hope no one brings covid-19 with them because you know masks won't be required. that would be a shame!,en,False
538594,1261523270169440256,"healthcare workers facing covid-19 are doing their jobs under extraordinary levels of stress. but as teams find themselves unable to protect themselves with ppes like masks and gowns, job performance may suffer. #covid19 #healthnews",en,False
2298162,1261756236070039552,"#ppeshortage #ppe #trumpvirus #coverup may 16: trump admin accused of ‘seizing’ 50,000 n95 respirators intended for medical workers by masks for america masks seized: unprecedented federal interference",en,False
2396555,1261770653365084161,dear can you please explain how a face mask works in stores where everyone and their dog has handled the merchandise? i’ll wait. #overit,en,False
2345775,1261762037996302340,i've been trying not to scream out with this bad back of mine... just in case the neighbours hear and think it's murder... but the odd scream between doses o painkillers slips out! should i let it all out or muffle it with a covid mask?!!! going slowly mad!!,en,False
22285,1261448973266501633,", is a serious spreader of #covid. it should be shut down now. printers & distributors have #covid. delivery people touch papers when folding & wrapping. do they have masks at 4:00 am? yawn? sneeze? delivery to subscribers who are old!",en,False
152037,1261469796249419777,"a buddhist temple in pathum thani, just outside #bangkok, has adorned its #buddha statue with a face mask to remind passersby to wear a mask when they venture outdoors. #coronavirus",en,False
2105494,1261733924734005248,coronavirus: how face masks are becoming fashionable,en,False
682223,1261549702908203008,"good day friends. let us obey our doctors. wash our hands, maintain social distance and wear a mask. we should save lives. #covid-19 #staysafe #stayathome",en,False
244248,1261480718154248193,"covid hits the wh. there are no mask or ventilators available. trumps lies and stupidity have caused the death 87,000 americans. trump says americans are warriors, it's no big deal if they die, their sacrifice is to save the economy",en,False
1952580,1261717129742749696,"gop cannot fathom the logic. open early, no social distance, no masks, bear the consequences. trump base getting wiped.",en,False
1999031,1261722149980647430,"i’d never wait in line to get into any store...and i’ll never wear a mask, unless required in a medical facility. this is total insanity! ya...why didn’t a walmart-covid breakout happen? walmart’s were packed, along w/ menards & a few others this entire time. it’s all such bs!",en,False
2483259,1261781330020401152,virologist hospitalized with coronavirus believes he was infected through eyes because he was wearing mask #news,en,False
618302,1261537857648201734,"don’t play around with coronavirus. 1.4 million u.s. cases, 87,000 deaths. you never know when it’s coming for you. be safe, wash your hands, wear your mask, 6ft social distancing is necessary. period.",en,False
607299,1261535860786266113,"#aatmanirbharbharat when the covid-19 crisis started not even a single ppe kit was manufactured in india, only a few n95 masks were available. today 2 lakh ppe kits and 2 lakh n95 masks are manufactured in india daily. via namo app",en,False
2031167,1261725641923334145,"man drives 530 miles to deliver n95 masks to his sister, a nurse at a covid-19 hospital in north carolina:",en,False
1656059,1261686020858236928,"not population density alone that determines spread of #covid19. orange & los angeles counties are adjacent. orange has a higher population density than la co, but la co has been much more restrictive than orange -- la beaches closed, masks required...",en,False
2087871,1261731954480865283,interested in mask making? you really need to read this guide to the best materials to use! #covid19 #wearamask #masks4all #stayathome #masks4docs #mymasksaveslives #covid_19 #masks4alluk #literacy,en,False
2018918,1261724309925646336,"mandatory face masks for passengers, workers starts monday at pittsburgh airport (via wkbn 27 first news)",en,False
2169725,1261741261289132034,"sure, that's why docs and nurses who wear masks for 12-14hours are dropping, because of co2 narcosis. idiot.",en,False
1525155,1261672469905248256,disheartening situation of the pandemic. dr sudhakar - landed in this situation after questioning the govt response of covid-19 to provide ppe & masks.,en,False
2563637,1261791793324199936,"trump is getting americans killed because he encourages racism, violence, disobeying stay at orders, not wearing masks ... he is not making america great",en,False
901232,1261589632145293313,"yes 1 case certainly: suo moto #pil in march on #covid-led closure of #midday #meals in #schools this, however, can't mask absence of urgency in giving rapid-fire directives to govts to protect #righttolife of #migrantsontheroad i feel ashamed as my daily #5qs to pm hv failed",en,False
2289470,1261755201456951296,any idiot that goes about with a silly mask on his face should be boiled in his own pudding and buried with a stake of holly through his heart. #coronavirus #moronavirus,en,False
1804530,1261701353593876480,(pdf) masks don't work: a review of science relevant to covid-19 social policy,en,False
1763026,1261697010790359041,all you gd idiots in santa clarita who are out and not wearing masks f you!!!!!! put a mask on i wanna smack you all in the face but i’m staying way more than 6ft away from you all!! #coronavirus #wearamask !!!!!!!!!,en,False
2114103,1261734932273119232,"t&t is being told to sanitise, wear masks and stay away from others. more here",en,False
1163431,1261630234060881922,"#aatmanirbharbharat when the covid-19 crisis started not even a single ppe kit was manufactured in india, only a few n95 masks were available. today 2 lakh ppe kits and 2 lakh n95 masks are manufactured in india daily. via namo app",en,False
1014168,1261608808067018752,most people with covid -19 may not show any signs but can still spread the diseases. protect yourself : stay 2 metres away from the next person and use a mask.,en,False
2549515,1261789917983715329,nice to see #police today in #hydeparkprotest following #government guidelines with #social_distancing yeah right i've never seen so many police right on each no 2 metres apart like you are meant to where are there face masks? no good wearing gloves that won't protect you! #covid,en,False
889109,1261587532669648898,evidence based informative video on effectiveness of masks in this coronavirus pandemic,en,False
1573170,1261677421855756288,"thank you for all the love you’re pouring at our new, hottest accessory! the motochic face masks have just left our manufacturing facility, delay's caused by longer processing/shipping times due to covid-19! we can’t wait to ship these out to you towards the end of next week!",en,False
1381934,1261655126714060801,"oops, another covidiot did it again. trump diehard who was booted from trader joe’s for refusing to wear a mask now has coronavirus symptoms via",en,False
982989,1261603700323373056,i sent masks to health workers but the trump administration seized them instead of helping via,en,False
653586,1261544425836228611,coronavirus: demand for face masks creates shortfall for those in real need . at a news conference in gene...,en,False
577080,1261530174127894530,all coronavirus did was scare men into wearing gay face masks.,en,False
1797854,1261700650376855554,hey if what you say is true then why don’t you and your family of liars and idiots stop getting tested for covid-19 (since you get tested everyday be a “man” and just stop then. you already don’t wear a mask which is to protect others not you!) stupid murderer!,en,False
2073353,1261730326608523265,what is the matter don't masks work?,en,False
1757840,1261696474267746306,"masks, gloves, glasses and three bottles of alcohol-based purifier to sanitise equipment, hands and car: journalists covering anti-lockdown protests need to come prepared. oh, and some advice: avoid hostile-looking people without masks. they may spit.",en,False
1312910,1261647630897156096,you said you were diagnosed on the 31st. you went outside without a mask on the 12th. your math is wrong.,en,False
310154,1261489141038157824,coronavirus ravaged a choir. but isolation helped contain it. get your #covid__19 #covid19 #n95 #mask #coronavirus #trump #deltaairlines #americanairlines #unitedairlines #airlines,en,False
2089608,1261732154758901767,watching this triggers a coughing reflex. shower that crowd with masks & strepsils.,en,False
211422,1261476669082271744,former neurosurgeon says masks are ineffective against covid-19 and can cause health problems - and you don't have to look stupid !!!!,en,False
2572587,1261792999157182467,wear a mask for everyone’s wellness. . . . for more details check out our website link in bio ️️ . . . #covid19 #covid_19 #covidmask #coronavirus #coronavírus #coronamask #coronavirusmask #facemask #onlineshop #online #staysafe #stayhealthy #usfacemask,en,False
2617396,1261798915340414976,"it's an additional public health measure that will help us all curb the spread of covid-19, and make it more likely that our 2020-21 school year will be closer to a sense of normal. i encourage you to wear a mask when in public.",en,False
2295683,1261755932159008768,"every time i go outside, its evident covid-19 is gonna be with us a long time: groups of bicyclists riding with no masks. store owners arguing with customers to wear masks they have in their hands. even with a vaccine, containment in this country may be a serious challenge.",en,False
906327,1261590476936876032,"when you hear that person you were chilling with gidigidi the day before, the one with whom you broke all social-distancing and mask-wearing protocols, has tested positive for covid-19. automatic self-inflicted diarrhoea!",en,False
1735415,1261694149494964225,what type of people wear the covid masks while driving alone in their cars?,en,False
2392913,1261768899592368133,harvard and mit researchers are developing a face mask that lights up when it detects the coronavirus #covid19,en,False
1982966,1261720415640195080,covid-19 update religious idiots again i will mask up before getting on the train to work @ 179th st subway station (f line),en,False
1507045,1261668234073264128,document on website on page says in some countries national authorities advice wearing mask like india wide use of masks by healthy people is not supported by current evidence & carries uncertainties and critical risks.,en,False
574895,1261529763115606016,"1. if someone is telling you masks could cause covid they are trying to fucking kill you. 2. if someone is trying to convince you they should be able to ""choose"" they are a selfish asshole.",en,False
2622794,1261799617919885312,"in this 53-second video, i spotted dozens of people and only 3 masks—one of which was worn by a cop. another cop in the video is maskless. what's happening here is pretty simple: trump told america everything was fine, people are acting accordingly, and untold deaths will result.",en,False
1132593,1261626239086977024,"simple explanation of the science. wear the mask to save lives, and so we can stop the virus and return to some sense of normal life. it's really that simple",en,False
333246,1261492122630459392,"i hate to break it to you, no name, but masks help the spread of covid: if you have it and don’t know you are a spreader, it protects others. i read your bio. it pains me to tell you, republicans have abortions too. they just don’t talk about it. they hide it and use it for",en,False
254831,1261482064869683200,"#5: politicization of everything: covid treatments, opening up or not, testing, mortality rates, “like the flu,” china, travel bans, masks... is there any issue that won’t become chum in our political waters? the virus is foe enough. why do this to ourselves? which leads to... /13",en,False
2310780,1261757773282500608,we've added new face mask satin elastic washable fabric face mask at our store. check it out here: #facemask #covid19 #coronavirus,en,False
2474707,1261780259231260672,chris hayes points out the glaring flaw with trump base’s anti-coronavirus mask stance,en,False
1881466,1261709448088870912,"cw: covid, virus i've been back on main for like a day and i'm already seeing a ton of covid posts and the debate still seems to be running rampant: should i be wearing a mask when i go out or not?",en,False
993260,1261605416993280000,wear a mask thou shalt not covid thy neighbor,en,False
703234,1261553342385459202,"i'm tired of hearing about wearing masks in public. it's been known for months now that covid-19 can get in through your eyes. also, this mass lockdown is fucking with my food. if it continues for several more months, i'll go hungry. so will many others. this is sadistic.",en,False
763652,1261563646884397056,ranbir kapoor-alia bhatt ask paparazzi to stay safe and wear masks amid covid-19 pandemic #bhatt #covid #kapoor #masks #pandemic #paparazzi #ranbir,en,False
136903,1261463200349908993,it’s fake news. she knows because she’s out in public without a mask and hasn’t died of covid-19.* *yet,en,False
200059,1261475343870971905,why is pelosi taking off her mask?,en,False
628878,1261539840849514497,"the us govt's goal to encourage the continued use of facial masks is to reinforce fear so that their own risk management programs can be intensified... this in pure terms, is nothing short of psychological manipulation and it has nothing to do with health or keeping people safe..",en,False
2316945,1261758537627250688,#throughthekeyhole beverly callard should really have ironed her covid mask before wearing it on tv.,en,False
2522140,1261786335985229824,something tells me we will be wearing a mask until a vaccine is developed. ai models suggest masking policy more cost-effective than lockdown via,en,False
906276,1261590470318264320,"who stress the central role of behavioural science in responding to covid 19: after all, until we have a vaccine, all our interventions depend on changing behaviour: staying home, physical distancing, quarantining, wearing masks, observing hygiene...",en,False
2010444,1261723390928355330,"because macau has been using masks as its primary response since jan. 23, and despite being the world’s most crowded jurisdiction (pop. 600,000, with a land border to china), it has had zero covid-19 deaths and today has only 2 active cases.",en,False
2190438,1261743657629057025,"dear sir, my brother is ayush doctor in manikpur chc(karvi dis.) working daily for 3 months without break in covid-19 -hospital incharge is corrupt -not providing mask and sanitizer -other staff not called for duty they just sign attendence please....",en,False
2198660,1261744622402973696,"debating whether to attend the funeral of a loved one. i want to be there to say goodbye, but i know it’s likely not safe. i assume most, if any at all, will wear masks. it seems very disrespectful if i don’t go. i hate the impossible decisions #coronavirus requires!!",en,False
1490312,1261666490253602818,"when wearing a mask, cover your mouth and nose and make sure it’s snug against your face. #stayhomedc",en,False
1813848,1261702332850544644,"masks are not a symbol of fear, they’re a symbol of love. so proud of our team joining with folks across colorado in remembrance of those we’ve lost to covid-19.",en,False
424972,1261505129003401216,fancy mask for brides amidst coronavirus; does it make sense? #coronamask #facemask,en,False
1554733,1261675529540825088,"fauci's bad ""science"" caused the deaths. he gave bad info and hasn't been right about much. he said covid was not transmitted human to human and don't wear a mask...remember??? china and who caused the world's problems with covid 19 not trump or any leader of any country",en,False
124578,1261461593696555008,"in case you didn't know you got it straight from the jackass's mouth, masks are the ""symbol of fear"".",en,False
1644800,1261684862622355463,these university researchers are working on a face mask that could kill coronavirus on contact,en,False
847844,1261578392769630209,why shut down? covid-19 infections would plummet if 80% of americans just wore masks according to study,en,False
2295901,1261755959258603527,"apparently covid must be over in toronto cus driving by the lakeshore today i saw 100s upon 100s upon 100s of people hangin' out in groups, enjoying nice weather, letting their kids play with other kids, no one wearing a mask. they even blocked off two lanes of the street for it!",en,False
1434937,1261660649714855937,you forgot one key prepositional phrase: thank god this smart girl scout was wearing a mask when this creepy looming old man with tiny hands tried to breathe his germs all over her. #wearamask #coronavirus #covidー19,en,False
1412419,1261658292729688065,"just found out that due to my husband’s past medical history with his kidney disease, he is more likely than the average person to get covid. this wouldn’t upset me so much if he wasn’t an essential worker, risking his health every day. wear masks. don’t be dicks.",en,False
1681572,1261688639848734721,reminder: americans are dying asshole!!! if you've got nothing more important to do put your fucking phone down and make a mask for a first responder! jfc!!!,en,False
1841933,1261705257454837764,coronavirus masks a boon for crooks who hide their faces via,en,False
1593626,1261679577639849986,(pdf) masks don't work: a review of science relevant to covid-19 social policy,en,False
684102,1261550047289884672,"book a set of 2 face masks free on nurserylive. let's prepare for life after lockdown. nurserylive is gifting 1 m face masks all over india. social distancing face mask is key. india jeetega, covid harega! #covid__19 via",en,False
756862,1261562452694536193,"ever since #covid hit with the gradual changes taking plce with masks being new normal and many more to come this movie is what i could relate to;living under ground, unable sustain ourselves more that a few minutes without a proper suite due to radiationthe prices of veggies",en,False
1381723,1261655108049342466,"if you like dr. fauci because he facepalms when trump says something stupid, take a moment to read what dr. fauci told about how risk of covid spread was ""miniscule"" and his initial order to ""skip masks.""",en,False
2124803,1261736152022880258,usa today: trump team seized masks i sent to health workers doesn't this fit in with trump's tactics of stealing credit from others #trumpdirtytricks and trump probably made a buck too,en,False
1888775,1261710231802789888,"my friend, jk lost her brother to covid-19 last night. this is the third member of her family to die in 3 weeks. her brother. her mother. her aunt. stay home. wear your mask. wash your hands.",en,False
102123,1261458820124950528,"enjoy your camp david vaycay! some of the “guys” going there think they look “foolish” wearing masks!!! ( i know what you are thinking! shhh we won’t tell them!) anyway, have a nice healthy time. i’m sure there will be no covid there-due to your christianity and all. have fun!",en,False
2131464,1261736915570774019,"dear sir, my brother is ayush doctor in manikpur chc(karvi dis.) working daily for 3 months without break in covid-19 -hospital incharge is corrupt -not providing mask and sanitizer -other staff not called for duty they just sign attendence please...",en,False
548188,1261524971727147008,"the vietnamese took their mask-usage lead from japan. as you know, vietnam handled their covid outbreak very well - no deaths.",en,False
461604,1261510734111858688,"dotcom, if the fake news is scaring you about it, just quit watching it. there are plenty of doctors who will attest to this being blown way out of proportion. you go ahead and wear your mask and become a hermit to a covid flu that has killed much less people that the regular flu",en,False
681756,1261549607923773441,"atwater just declared itself a ""covid sanctuary city"" and is opening up. no masks no social distancing. i would avoid that next new hotspot. the security guard at the city council meeting is mask less.",en,False
2199381,1261744704254812161,so... here ya' go... former neurosurgeon says masks are ineffective against covid-19 and can cause health problems,en,False
1918043,1261713369448566784,"i don't understand what's so complicated about the rules in #nyc about #socialdistance: wear a mask and stay 6' apart. that's literally it. why is that hard to understand? if you can't do that, stay home. #coronavirus",en,False
653895,1261544482014724096,"hello everyone, we hope you are observing all safety protocols to stop the spread of covid-19. wash your hands with soap under running water, sanitize your hands regularly, avoid social gathering and please always wear your face mask when stepping out.",en,False
951765,1261598378703675393,"""right now, the right to breathe unobstructed into everyone in your path is, in its way, a weapon."" #masks #pathology",en,False
421521,1261504612386787328,this is how you scare the gullible & get them to wear a mask,en,False
151954,1261469789630816256,coronavirus: newlyweds kiss through face masks during mass wedding,en,False
453938,1261509560982016000,deal!!! - 28.99 - electric protective mask pm2.5 respirator with air supply for coronavirus,en,False
992143,1261605236671643655,does not wear face masks in photos seen by citizens. the presidency has explained the nigerian leader's reasons.,en,False
